,,,,,,,,Flat Test Results,,,,,,,,,,,,Climb Test Results,,,,,,,,,,,
Parlee RZ7,Zwift 32mm Carbon,Road,"771,800",32,183,75,150,19.2106,42.7,,,,,,,,,19.4003,78.6,4.7996,10.6,,,,,,,,,4.8507,49.0
Pinarello Bolide,Zwift 32mm Carbon,TT,"618,400",28,183,75,150,19.7570,20.3,,,,,,,,,20.0805,74.6,4.6856,7.2,,,,,,,,,4.7188,32.8
Pinarello Bolide TT,Zwift 32mm Carbon,TT,"627,000",28,183,75,150,19.7562,20.1,,,,,,,,,20.0786,74.3,4.6828,5.1,,,,,,,,,4.7163,30.9
Pinarello Dogma 65.1,Zwift 32mm Carbon,Road,"577,800",40,183,75,150,19.1123,24.0,,,,,,,,,19.3011,59.8,4.7816,-2.9,,,,,,,,,4.8310,34.2
Pinarello Dogma F 2021,Zwift 32mm Carbon,Road,"1,350,000",32,183,75,150,19.2853,56.8,,,,,,,,,19.4769,93.2,4.8411,41.8,,,,,,,,,4.8918,80.0
Pinarello Dogma F 2024,Zwift 32mm Carbon,Road,"1,750,000",40,183,75,150,19.3139,62.3,,,,,,,,,19.5057,98.6,4.8473,46.5,,,,,,,,,4.8992,85.5
Pinarello Dogma F10,Zwift 32mm Carbon,Road,"1,081,900",40,183,75,150,19.2369,47.7,,,,,,,,,19.4288,84.0,4.8179,24.4,,,,,,,,,4.8691,62.9
Pinarello Dogma F12,Zwift 32mm Carbon,Road,"1,242,700",40,183,75,150,19.2611,52.2,,,,,,,,,19.4524,88.5,4.8233,28.4,,,,,,,,,4.8742,66.7
Pinarello Dogma X,Zwift 32mm Carbon,Road,"850,000",27,183,75,150,19.0350,9.4,,,,,,,,,19.2191,44.3,4.8227,28.0,,,,,,,,,4.8735,66.2
Pinarello Espada,Pinarello Pinarello Espada,Halo,"10,000,000",,183,75,150,20.1549,88.3,,,,,,,,,20.4711,281.7,4.6541,-98.8,,,,,,,,,4.6868,-74.2
Pinarello F8,Zwift 32mm Carbon,Road,0,0,183,75,150,19.1981,40.3,,,,,,,,,19.3881,76.3,4.8136,21.1,,,,,,,,,4.8645,59.4
Quintana Roo V-PR,Zwift 32mm Carbon,TT,"297,400",13,183,75,150,19.7613,21.1,,,,,,,,,20.0858,75.6,4.7003,18.6,,,,,,,,,4.7348,45.1
Mosaic RT-1d,Zwift 32mm Carbon,Road,"250,000",11,183,75,300,24.6315,6.4,24.7067,17.4,24.7192,19.3,24.7976,30.7,24.8206,34.1,24.8186,33.8,9.1903,-4.6,9.1931,-3.5,9.2535,20.1,9.2803,30.6,9.2815,31.1,9.2813,31.0
Ribble Endurance,Zwift 32mm Carbon,Road,"505,500",21,183,75,150,19.0888,19.6,,,,,,,,,19.2750,54.9,4.7911,4.2,,,,,,,,,4.8417,42.3
Parlee ESX,Zwift 32mm Carbon,Road,"153,200",5,183,75,300,24.7642,25.8,24.8641,40.5,24.8775,42.4,24.9554,53.8,24.9544,53.7,24.9527,53.4,9.2417,15.5,9.2471,17.6,9.3060,40.7,9.3342,51.7,9.3345,51.8,9.3338,51.6
Ridley Helium,Zwift 32mm Carbon,Road,"272,500",15,183,75,150,19.0283,8.1,,,,,,,,,19.2141,43.3,4.8056,15.1,,,,,,,,,4.8559,53.0
Parlee RZ7,Zwift 32mm Carbon,Road,"771,800",32,183,75,300,24.8832,43.3,24.9604,54.6,24.9694,55.9,25.0482,67.4,25.0740,71.2,25.0756,71.4,9.2416,15.5,9.2428,16.0,9.2825,31.5,9.3116,42.9,9.3128,43.3,9.3318,50.8
Ridley Noah Fast 2019,Zwift 32mm Carbon,Road,"950,000",33,183,75,150,19.2529,50.7,,,,,,,,,19.4453,87.2,4.7955,7.5,,,,,,,,,4.8452,44.9
Pinarello Dogma 65.1,Zwift 32mm Carbon,Road,"577,800",40,183,75,300,24.7580,24.9,24.8353,36.3,24.8467,37.9,24.9245,49.3,24.9504,53.1,24.9473,52.7,9.2025,0.2,9.2065,1.8,9.2645,24.5,9.2936,35.8,9.2958,36.7,9.2945,36.2
Scott Addict RC,Zwift 32mm Carbon,Road,"660,200",17,183,75,150,19.2563,51.3,,,,,,,,,19.4472,87.5,4.8470,46.3,,,,,,,,,4.8983,84.9
Scott Foil 2015,Zwift 32mm Carbon,Road,"676,900",26,183,75,150,19.0683,15.7,,,,,,,,,19.2549,51.1,4.8141,21.5,,,,,,,,,4.8646,59.5
Pinarello Dogma F 2021,Zwift 32mm Carbon,Road,"1,350,000",32,183,75,300,24.9739,56.5,25.0545,68.3,25.0637,69.7,25.1439,81.4,25.1673,84.9,25.1690,85.1,9.3147,44.1,9.3188,45.7,9.3588,61.3,9.3870,72.4,9.3882,72.8,9.4097,81.3
Scott Foil 2023,Zwift 32mm Carbon,Road,"864,600",26,183,75,150,19.2826,56.3,,,,,,,,,19.4719,92.2,4.8166,23.4,,,,,,,,,4.8670,61.3
Scott Plasma,Zwift 32mm Carbon,TT,"528,600",19,183,75,150,19.7687,22.4,,,,,,,,,20.0902,76.4,4.7146,29.6,,,,,,,,,4.7475,54.9
Scott Plasma RC Ultimate,Zwift 32mm Carbon,TT,"600,000",19,183,75,150,19.8569,38.6,,,,,,,,,20.1820,93.2,4.7160,30.6,,,,,,,,,4.7485,55.7
Pinarello Dogma F 2024,Zwift 32mm Carbon,Road,"1,750,000",40,183,75,300,25.0126,62.2,25.0926,73.9,25.1013,75.2,25.1816,87.0,25.2058,90.5,25.2047,90.3,9.3256,48.4,9.3307,50.3,9.3723,66.6,9.3997,77.3,9.4017,78.1,9.4220,86.1
Scott Spark RC,Zwift Mountain,MTB,"350,000",20,183,75,150,17.0987,-357.8,,,,,,,,,17.2748,-324.4,4.2802,-380.1,,,,,,,,,4.3517,-326.3
Scott Spark RC World Cup,Zwift Mountain,MTB,"750,000",20,183,75,150,17.1380,-350.3,,,,,,,,,17.3136,-317.0,4.2920,-371.2,,,,,,,,,4.3639,-317.2
Pinarello Dogma F10,Zwift 32mm Carbon,Road,"1,081,900",40,183,75,300,24.9185,48.4,24.9975,60.0,25.0055,61.2,25.0841,72.7,25.1099,76.5,25.1107,76.6,9.2731,27.8,9.2763,29.1,9.3158,44.5,9.3438,55.5,9.3445,55.7,9.3668,64.5
Specialized Aethos S-Works,Zwift 32mm Carbon,Road,"966,300",30,183,75,150,19.2323,46.8,,,,,,,,,19.3932,77.3,4.8602,56.2,,,,,,,,,4.9464,121.0
Specialized Allez,Zwift 32mm Carbon,Road,"122,700",9,183,75,150,19.0203,6.6,,,,,,,,,19.2060,41.8,4.7800,-4.1,,,,,,,,,4.8291,32.8
Pinarello Dogma F12,Zwift 32mm Carbon,Road,"1,242,700",40,183,75,300,24.9494,53.0,25.0274,64.4,25.0354,65.5,25.1146,77.1,25.1412,81.0,25.1420,81.2,9.2831,31.7,9.2863,33.0,9.3267,48.8,9.3541,59.5,9.3573,60.8,9.3762,68.2
Specialized Allez Sprint,Zwift 32mm Carbon,Road,"387,000",14,183,75,150,19.1933,39.4,,,,,,,,,19.3826,75.3,4.8142,21.6,,,,,,,,,4.8656,60.3
Pinarello Dogma X,Zwift 32mm Carbon,Road,"850,000",27,183,75,300,24.6447,8.3,24.7209,19.5,24.7286,20.6,24.8058,31.9,24.8283,35.2,24.8287,35.3,9.2707,26.9,9.2752,28.6,9.3127,43.3,9.3401,54.0,9.3431,55.2,9.3634,63.1
Specialized Amira,Zwift 32mm Carbon,Road,"730,400",36,183,75,150,19.0351,9.4,,,,,,,,,19.2212,44.7,4.8276,31.7,,,,,,,,,4.8789,70.3
Pinarello F8,Zwift 32mm Carbon,Road,0,0,183,75,300,24.8655,40.7,24.9443,52.2,24.9565,54.0,25.0353,65.5,25.0600,69.2,25.0577,68.8,9.2614,23.2,9.2667,25.3,9.3268,48.8,9.3554,60.0,9.3548,59.8,9.3555,60.1
Specialized Amira S-Works,Zwift 32mm Carbon,Road,"802,300",36,183,75,150,19.0383,10.0,,,,,,,,,19.2243,45.3,4.8383,39.7,,,,,,,,,4.8901,78.7
Ribble Endurance,Zwift 32mm Carbon,Road,"505,500",21,183,75,300,24.7224,19.7,24.8238,34.6,24.8365,36.4,24.9152,48.0,24.9132,47.7,24.9122,47.5,9.2187,6.5,9.2253,9.1,9.2849,32.4,9.3104,42.4,9.3120,43.0,9.3108,42.6
Specialized Crux,Zwift Gravel,Gravel,"950,000",35,183,75,150,17.8289,-219.3,,,,,,,,,18.0160,-183.9,4.6021,-138.0,,,,,,,,,4.6505,-101.6
Ridley Helium,Zwift 32mm Carbon,Road,"272,500",15,183,75,300,24.6414,7.9,24.7154,18.7,24.7278,20.5,24.8046,31.8,24.8274,35.1,24.8258,34.9,9.2400,14.9,9.2446,16.7,9.3027,39.4,9.3315,50.7,9.3315,50.7,9.3324,51.0
Specialized Diverge,Zwift Gravel,Gravel,"300,000",14,183,75,150,17.7745,-229.6,,,,,,,,,17.9600,-194.5,4.5547,-173.6,,,,,,,,,4.6013,-138.6
Ridley Noah Fast 2019,Zwift 32mm Carbon,Road,"950,000",33,183,75,300,24.9390,51.4,25.0182,63.0,25.0278,64.4,25.1077,76.1,25.1317,79.6,25.1338,80.0,9.2339,12.5,9.2380,14.1,9.2777,29.6,9.3030,39.5,9.3052,40.4,9.3252,48.2
Specialized Epic S-Works,Zwift Mountain,MTB,"950,000",29,183,75,150,17.1168,-354.4,,,,,,,,,17.2915,-321.2,4.2738,-384.9,,,,,,,,,4.3453,-331.2
Scott Addict RC,Zwift 32mm Carbon,Road,"660,200",17,183,75,300,24.9346,50.8,25.0145,62.5,25.0266,64.3,25.1051,75.8,25.1295,79.3,25.1278,79.1,9.3243,47.8,9.3277,49.2,9.3874,72.5,9.4163,83.8,9.4190,84.9,9.4190,84.9
Specialized PROJECT 74,Roval PROJECT 74,Halo,"10,000,000",,183,75,150,19.6223,120.7,,,,,,,,,19.8265,159.4,4.7685,-12.8,,,,,,,,,4.8192,25.4
Scott Foil 2015,Zwift 32mm Carbon,Road,"676,900",26,183,75,300,24.6921,15.3,24.7678,26.4,24.7788,28.0,24.8559,39.3,24.8810,42.9,24.8791,42.7,9.2560,21.1,9.2603,22.8,9.3210,46.6,9.3479,57.1,9.3496,57.7,9.3491,57.5
Specialized Roubaix,Zwift 32mm Carbon,Road,"333,500",18,183,75,150,19.0306,8.5,,,,,,,,,19.2160,43.7,4.8111,19.3,,,,,,,,,4.8622,57.7
Scott Foil 2023,Zwift 32mm Carbon,Road,"864,600",26,183,75,300,24.9738,56.5,25.0528,68.1,25.0617,69.4,25.1432,81.3,25.1659,84.7,25.1652,84.6,9.2723,27.5,9.2758,28.9,9.3163,44.7,9.3444,55.7,9.3454,56.1,9.3659,64.1
Specialized Roubaix S-Works,Zwift 32mm Carbon,Road,"405,200",18,183,75,150,19.0349,9.3,,,,,,,,,19.2928,58.3,4.8282,32.1,,,,,,,,,4.8629,58.2
Specialized Aethos S-Works,Zwift 32mm Carbon,Road,"966,300",30,183,75,300,24.9027,46.1,24.9423,51.9,24.9603,54.6,25.0378,65.9,25.0484,67.5,25.0508,67.8,9.3446,55.8,9.3470,56.7,9.4382,92.4,9.4663,103.4,9.4671,103.7,9.4974,115.6
Specialized Ruby,Zwift 32mm Carbon,Road,"333,500",18,183,75,150,19.0304,8.5,,,,,,,,,19.2164,43.8,4.8108,19.0,,,,,,,,,4.8615,57.2
Specialized Allez,Zwift 32mm Carbon,Road,"122,700",9,183,75,300,24.6323,6.5,24.7333,21.3,24.7443,22.9,24.8224,34.4,24.8233,34.5,24.8201,34.0,9.1949,-2.8,9.1999,-0.8,9.2590,22.3,9.2855,32.7,9.2859,32.8,9.2876,33.5
Specialized Ruby S-Works,Zwift 32mm Carbon,Road,"399,300",18,183,75,150,19.0352,9.4,,,,,,,,,19.2207,44.6,4.8281,32.0,,,,,,,,,4.8785,70.0
Specialized Allez Sprint,Zwift 32mm Carbon,Road,"387,000",14,183,75,300,24.8583,39.6,24.9364,51.1,24.9476,52.7,25.0277,64.4,25.0513,67.9,25.0492,67.6,9.2658,25.0,9.2688,26.1,9.3279,49.3,9.3570,60.6,9.3561,60.3,9.3575,60.8
Specialized S-Works Tarmac SL8,Zwift 32mm Carbon,Road,"1,750,000",40,183,75,150,19.3144,62.3,,,,,,,,,19.5056,98.6,4.8599,56.0,,,,,,,,,4.9116,94.9
Specialized Amira,Zwift 32mm Carbon,Road,"730,400",36,183,75,300,24.6470,8.7,24.7461,23.2,24.7584,25.0,24.8360,36.4,24.8306,35.6,24.8336,36.0,9.2806,30.7,9.2864,33.0,9.3467,56.6,9.3725,66.7,9.3738,67.2,9.3735,67.1
Canyon Speedmax CFR,Zwift 32mm Carbon,TT,"1,250,000",40,183,75,300,25.8432,47.1,25.9039,55.6,25.9054,55.8,25.9948,68.5,25.9940,68.3,26.1829,95.0,9.124,31.6,9.1269,32.8,9.1463,40.5,9.1739,51.5,9.1847,55.8,9.1927,58.9
Specialized Shiv,Zwift 32mm Carbon,TT,"643,800",37,183,75,150,19.7611,21.0,,,,,,,,,20.0848,75.4,4.6989,17.5,,,,,,,,,4.7327,43.5
Specialized Amira S-Works,Zwift 32mm Carbon,Road,"966,300",36,183,75,300,24.6493,9.0,24.7248,20.1,24.7360,21.7,24.8120,32.8,24.8390,36.8,24.8356,36.3,9.2983,37.7,9.3022,39.2,9.3617,62.5,9.3887,73.0,9.3914,74.1,9.3921,74.4
Cadex Tri,Zwift 32mm Carbon,TT,"1,500,000",40,183,75,300,25.8494,45.9,25.9115,54.7,25.9174,55.5,26.0054,67.9,26.0049,67.9,26.1858,93.4,9.1055,24.4,9.1083,25.6,9.1264,32.8,9.1550,44.1,9.1657,48.4,9.1728,51.2
Specialized Shiv Disc,Zwift 32mm Carbon,TT,"1,000,000",37,183,75,150,19.8381,35.1,,,,,,,,,20.1653,90.2,4.6991,17.6,,,,,,,,,4.7323,43.2
Specialized Roubaix,Zwift 32mm Carbon,Road,"333,500",18,183,75,300,24.6425,8.0,24.7175,19.0,24.7290,20.7,24.8064,32.0,24.8287,35.3,24.8278,35.2,9.2496,18.6,9.2542,20.4,9.3106,42.5,9.3410,54.4,9.3410,54.4,9.3419,54.7
Canyon Speedmax CF SLX Disc,Zwift 32mm Carbon,TT,"1,200,000",31,183,75,300,25.8203,41.8,25.8806,50.3,25.8865,51.2,25.9756,63.7,25.9762,63.8,26.1562,89.2,9.0988,21.8,9.1001,22.3,9.1204,30.4,9.1494,41.9,9.1584,45.5,9.1667,48.8
Specialized Shiv S-Works,Zwift 32mm Carbon,TT,"910,600",37,183,75,150,19.7686,22.4,,,,,,,,,20.0908,76.5,4.7143,29.3,,,,,,,,,4.7485,55.7
Specialized Roubaix S-Works,Zwift 32mm Carbon,Road,"405,200",18,183,75,300,24.6466,8.6,24.6971,16.0,24.7021,16.7,24.7791,28.0,24.7790,28.0,24.9285,49.9,9.2793,30.2,9.2810,30.9,9.3025,39.3,9.3294,49.8,9.3394,53.8,9.3483,57.2
Specialized Tarmac,Zwift 32mm Carbon,Road,"786,300",36,183,75,150,19.0377,9.9,,,,,,,,,19.2230,45.0,4.8356,37.7,,,,,,,,,4.8868,76.2
VanRysel RCR-X,Zwift 32mm Carbon,TT,"1,200,000",,183,75,300,25.8049,39.6,25.8680,48.5,25.8714,49.0,25.9599,61.5,25.9621,61.8,26.1419,87.2,9.0910,18.7,9.0926,19.3,9.1117,26.9,9.1389,37.7,9.1505,42.4,9.1578,45.3
Specialized Ruby,Zwift 32mm Carbon,Road,"333,500",18,183,75,300,24.6424,8.0,24.7411,22.5,24.7514,24.0,24.8305,35.5,24.8287,35.3,24.8273,35.1,9.2473,17.7,9.2557,21.0,9.3145,44.0,9.3413,54.5,9.3431,55.2,9.3418,54.7
Scott Plasma RC Ultimate,Zwift 32mm Carbon,TT,"600,000",19,183,75,300,25.7945,38.2,25.8543,46.6,25.8609,47.5,25.9480,59.8,25.9485,59.9,26.1286,85.3,9.1212,30.7,9.1238,31.7,9.1425,39.2,9.1719,50.9,9.1807,54.4,9.1896,57.9
Felt IA 2.0,Zwift 32mm Carbon,TT,"750,000",16,183,75,300,25.7921,37.8,25.8542,46.6,25.8604,47.5,25.9488,59.9,25.9479,59.8,26.1309,85.6,9.1196,30.1,9.1217,30.9,9.1408,38.5,9.1696,50.0,9.1791,53.7,9.1887,57.6
Cervelo PX-Series,Zwift 32mm Carbon,TT,"1,000,000",34,183,75,300,25.7900,37.5,25.8804,50.3,25.8901,51.7,25.9789,64.2,26.0021,67.5,26.0072,68.2,9.0920,19.1,9.0977,21.3,9.1367,36.9,9.1640,47.7,9.1656,48.4,9.1859,56.4
Felt IA,Zwift 32mm Carbon,TT,"515,100",16,183,75,300,25.7896,37.5,25.8499,46.0,25.8560,46.9,25.9440,59.3,25.9449,59.4,26.1266,85.0,9.0935,19.7,9.0969,21.0,9.1161,28.7,9.1423,39.1,9.1528,43.3,9.1623,47.0
Specialized Shiv Disc,Zwift 32mm Carbon,TT,"1,000,000",37,183,75,300,25.7741,35.3,25.8357,44.0,25.8417,44.8,25.9286,57.1,25.9286,57.1,26.1097,82.6,9.0928,19.4,9.0946,20.1,9.1157,28.5,9.1409,38.5,9.1501,42.2,9.1593,45.9
Trek Speed Concept SLR 9,Zwift 32mm Carbon,TT,"670,500",22,183,75,300,25.7718,35.0,25.8339,43.7,25.8393,44.5,25.9277,57.0,25.9283,57.1,26.1093,82.6,8.9969,-18.8,9.0009,-17.2,9.0191,-10.0,9.0478,1.5,9.0561,4.8,9.0628,7.4
Cervelo P5,Zwift 32mm Carbon,TT,"920,700",34,183,75,300,25.7347,29.7,25.7955,38.3,25.8026,39.3,25.8900,51.7,26.0692,76.9,26.0676,76.7,9.1155,28.4,9.1158,28.5,9.1449,40.1,9.1743,51.8,9.1816,54.7,9.1826,55.1
Specialized Tarmac Pro,Zwift 32mm Carbon,Road,"856,100",36,183,75,150,19.2048,41.6,,,,,,,,,19.3925,77.2,4.8477,46.8,,,,,,,,,4.8993,85.6
Specialized Ruby S-Works,Zwift 32mm Carbon,Road,"399,300",18,183,75,300,24.6421,8.0,24.7222,19.7,24.7336,21.4,24.8099,32.5,24.8351,36.2,24.8334,36.0,9.2791,30.2,9.2824,31.5,9.3405,54.2,9.3694,65.5,9.3728,66.8,9.3725,66.7
Specialized Tarmac SL7,Zwift 32mm Carbon,Road,"1,200,000",36,183,75,150,19.2564,51.3,,,,,,,,,19.4474,87.6,4.8479,46.9,,,,,,,,,4.8983,84.9
Specialized S-Works Tarmac SL8,Zwift 32mm Carbon,Road,"1,750,000",40,183,75,300,25.0106,61.9,25.0908,73.7,25.0991,74.9,25.1786,86.5,25.2038,90.2,25.2023,90.0,9.3492,57.6,9.3532,59.2,9.3933,74.8,9.4230,86.5,9.4236,86.7,9.4438,94.6
Ventum One,Zwift 32mm Carbon,TT,"440,800",25,183,75,300,25.7050,25.6,25.7935,38.0,25.8029,39.4,25.8904,51.7,25.9184,55.7,25.9205,56.0,9.0183,-10.3,9.0212,-9.1,9.0602,6.4,9.0859,16.6,9.0885,17.7,9.1091,25.9
Specialized S-Works Tarmac SL9,Zwift 32mm Carbon,Road,"1,900,000",40,183,75,300,25.0040,63.0,25.0790,74.0,25.0888,75.4,25.1687,87.1,25.1966,91.2,25.1994,91.6,9.3485,57.7,9.3512,58.7,9.3925,74.9,9.4219,86.4,9.4232,86.9,9.4428,94.6
Specialized Shiv S-Works,Zwift 32mm Carbon,TT,"910,600",37,183,75,300,25.6776,21.7,25.7375,30.1,25.7435,31.0,25.8309,43.3,25.8317,43.4,26.0076,68.2,9.1184,29.6,9.1193,29.9,9.1392,37.9,9.1666,48.8,9.1771,52.9,9.1838,55.6
Scott Plasma,Zwift 32mm Carbon,TT,"528,600",19,183,75,300,25.6775,21.7,25.7371,30.1,25.7444,31.1,25.8316,43.4,26.0088,68.4,26.0075,68.2,9.1154,28.4,9.1191,29.9,9.1470,41.0,9.1760,52.5,9.1848,56.0,9.1841,55.7
DiamondBack Andean,Zwift 32mm Carbon,TT,"950,000",39,183,75,300,25.6756,21.4,25.7349,29.8,25.7403,30.5,25.8282,42.9,25.8282,42.9,26.0048,67.8,9.1020,23.0,9.1055,24.4,9.1231,31.4,9.1502,42.2,9.1592,45.8,9.1693,49.8
QuintanaRoo Roo V-PR,Zwift 32mm Carbon,TT,"297,400",13,183,75,300,25.6741,21.2,25.7323,29.4,25.7382,30.2,25.8263,42.7,25.8265,42.7,26.0006,67.3,9.0929,19.4,9.0963,20.8,9.1142,27.9,9.1433,39.5,9.1514,42.7,9.1595,45.9
Cube Aerium,Zwift 32mm Carbon,TT,"251,700",10,183,75,300,25.6738,21.2,25.7328,29.5,25.7385,30.3,25.8254,42.5,25.8268,42.7,26.0033,67.6,9.0907,18.5,9.0945,20.1,9.1148,28.1,9.1412,38.7,9.1525,43.1,9.1600,46.1
Canyon Speedmax,Zwift 32mm Carbon,TT,"424,600",31,183,75,300,25.6735,21.1,25.7323,29.4,25.7401,30.5,25.8285,43.0,26.0058,68.0,26.0030,67.6,9.0881,17.5,9.0919,19.0,9.1197,30.1,9.1478,41.3,9.1539,43.7,9.1562,44.6
Specialized Shiv,Zwift 32mm Carbon,TT,"643,800",37,183,75,300,25.6732,21.1,25.7320,29.4,25.7379,30.2,25.8264,42.7,25.8261,42.6,26.0026,67.5,9.0893,18.0,9.0897,18.2,9.1108,26.5,9.1376,37.2,9.1478,41.3,9.1550,44.1
BMC Timemachine01,Zwift 32mm Carbon,TT,"400,000",7,183,75,300,25.6728,21.0,25.7321,29.4,25.7396,30.4,25.8275,42.8,26.0046,67.8,26.0033,67.6,9.0875,17.3,9.0897,18.2,9.1204,30.4,9.1466,40.8,9.1544,43.9,9.1587,45.6
Pinarello Bolide,Zwift 32mm Carbon,TT,"618,400",28,183,75,300,25.6699,20.6,25.7280,28.8,25.7361,29.9,25.8238,42.3,26.0022,67.5,25.9995,67.1,9.0646,8.2,9.0663,8.8,9.0948,20.2,9.1234,31.6,9.1316,34.8,9.1316,34.8
Pinarello Bolide TT,Zwift 32mm Carbon,TT,"627,000",28,183,75,300,25.6688,20.5,25.7276,28.7,25.7330,29.5,25.8208,41.9,25.8219,42.0,25.9984,66.9,9.0585,5.7,9.0617,7.0,9.0822,15.2,9.1090,25.8,9.1202,30.3,9.1256,32.4
Specialized Tarmac SL8,Zwift 32mm Carbon,Road,"700,000",35,183,75,150,19.3071,61.0,,,,,,,,,19.4982,97.2,4.8478,46.9,,,,,,,,,4.8985,85.0
Specialized Tarmac,Zwift 32mm Carbon,Road,"786,300",36,183,75,300,24.6487,8.9,24.7246,20.0,24.7356,21.7,24.8121,32.9,24.8395,36.9,24.8354,36.3,9.2952,36.5,9.2982,37.6,9.3571,60.7,9.3851,71.6,9.3872,72.5,9.3870,72.4
Specialized S-Works Tarmac SL9,Zwift 32mm Carbon,Road,,,183,75,150,19.2929,62.4,,-3600.0,,-3600.0,,-3600.0,,-3600.0,,-3600.0,4.8599,56.0,,-3600.0,,-3600.0,,-3600.0,,-3600.0,,-3600.0
Specialized Tarmac Pro,Zwift 32mm Carbon,Road,"856,100",36,183,75,300,24.8677,41.0,24.9458,52.4,24.9582,54.2,25.0363,65.7,25.0623,69.5,25.0581,68.9,9.3232,47.4,9.3259,48.5,9.3874,72.5,9.4166,84.0,9.4165,83.9,9.4178,84.4
Zwift BMX Bandit,Zwift BMX Bandit,Funny,0,0,183,75,300,24.6601,10.6,24.7609,25.4,24.7720,27.0,24.8577,39.5,24.8569,39.4,24.8523,38.7,8.6047,-233.7,8.6095,-231.8,8.6611,-211.6,8.6869,-201.5,8.6876,-201.2,8.6890,-200.7
Zwift MX Rider,Zwift MX Rider,Funny,0,0,183,75,300,24.6578,10.3,24.7562,24.7,24.7643,25.9,24.8551,39.2,24.8551,39.2,24.8547,39.1,8.6070,-232.8,8.6095,-231.8,8.6610,-211.6,8.6876,-201.2,8.6881,-201.0,8.6883,-201.0
Specialized Venge 2015,Zwift 32mm Carbon,Road,"461,500",18,183,75,150,19.2977,59.2,,,,,,,,,19.4905,95.7,4.7980,9.4,,,,,,,,,4.8487,47.5
Specialized Tarmac SL7,Zwift 32mm Carbon,Road,"1,200,000",36,183,75,300,24.9355,50.9,25.0153,62.6,25.0230,63.7,25.1037,75.5,25.1289,79.2,25.1290,79.3,9.3242,47.8,9.3303,50.2,9.3694,65.5,9.3976,76.5,9.3986,76.9,9.4206,85.5
Specialized Venge S-Works 2019,Zwift 32mm Carbon,Road,"1,200,000",37,183,75,150,19.3137,62.2,,,,,,,,,19.5071,98.9,4.8276,31.7,,,,,,,,,4.8786,70.0
Specialized Tarmac SL8,Zwift 32mm Carbon,Road,"700,000",35,183,75,300,25.0022,60.7,25.0813,72.3,25.0910,73.7,25.1704,85.3,25.1951,88.9,25.1946,88.9,9.3286,49.5,9.3330,51.2,9.3730,66.9,9.4013,78.0,9.4024,78.4,9.4233,86.6
Trek Emonda,Zwift 32mm Carbon,Road,0,0,183,75,150,19.0397,10.3,,,,,,,,,19.1972,40.1,4.8428,43.1,,,,,,,,,4.9286,107.7
Specialized Venge 2015,Zwift 32mm Carbon,Road,"461,500",18,183,75,300,24.9995,60.3,25.0799,72.1,25.0922,73.9,25.1717,85.5,25.1939,88.8,25.1949,88.9,9.2416,15.5,9.2450,16.8,9.3047,40.2,9.3317,50.7,9.3341,51.7,9.3325,51.1
Trek Emonda SL,Zwift 32mm Carbon,Road,"560,300",25,183,75,150,19.0363,9.6,,,,,,,,,19.1942,39.6,4.8334,36.0,,,,,,,,,4.9186,100.1
Specialized Venge S-Works 2019,Zwift 32mm Carbon,Road,"1,200,000",37,183,75,300,25.0169,62.8,25.0991,74.9,25.1072,76.1,25.1877,87.8,25.2149,91.8,25.2150,91.8,9.2942,36.1,9.2986,37.8,9.3366,52.7,9.3664,64.3,9.3682,65.0,9.3869,72.3
Trek Madone,Zwift 32mm Carbon,Road,"1,050,000",34,183,75,150,19.2865,57.1,,,,,,,,,19.4788,93.5,4.8151,22.3,,,,,,,,,4.8659,60.5
Trek Emonda,Zwift 32mm Carbon,Road,0,0,183,75,300,24.6498,9.1,24.6897,14.9,24.7044,17.1,24.7803,28.2,24.7930,30.1,24.7945,30.3,9.3059,40.6,9.3078,41.4,9.3975,76.5,9.4264,87.8,9.4261,87.7,9.4564,99.5
Trek Speed Concept SLR 9,Zwift 32mm Carbon,TT,"670,500",22,183,75,150,19.8293,33.5,,,,,,,,,20.1573,88.7,4.6462,-23.1,,,,,,,,,4.6788,2.0
Trek Emonda SL,Zwift 32mm Carbon,Road,"560,300",25,183,75,300,24.6480,8.8,24.6983,16.2,24.7179,19.1,24.7938,30.2,24.7953,30.4,24.7909,29.8,9.2899,34.4,9.2916,35.1,9.4137,82.8,9.4381,92.4,9.4404,93.3,9.4389,92.7
Trek Super Caliber,Zwift Mountain,MTB,"750,000",38,183,75,150,17.1353,-350.8,,,,,,,,,17.3117,-317.4,4.2900,-372.8,,,,,,,,,4.3615,-319.0
Trek Madone,Zwift 32mm Carbon,Road,"1,050,000",34,183,75,300,24.9810,57.6,25.0622,69.5,25.0710,70.8,25.1504,82.4,25.1753,86.0,25.1762,86.2,9.2699,26.6,9.2734,27.9,9.3114,42.8,9.3409,54.3,9.3423,54.9,9.3628,62.9
Uranium Nuclear,Zwift 32mm Carbon,Road,"700,000",31,183,75,150,19.2292,46.2,,,,,,,,,19.4202,82.4,4.8209,26.6,,,,,,,,,4.8713,64.5
Uranium Nuclear,Zwift 32mm Carbon,Road,"700,000",31,183,75,300,24.9070,46.8,24.9857,58.3,24.9971,59.9,25.0756,71.4,25.1002,75.0,25.0983,74.8,9.2761,29.0,9.2805,30.7,9.3395,53.8,9.3688,65.3,9.3704,65.9,9.3711,66.2
