folder,our_frame,make,zi_test_bike,type,match_score,wheel,power_W,zi_mass_kg_s0,game_mass_kg_s0,mass_diff_kg_s0,zi_cda_m2_s0,game_cda_m2_s0,cda_diff_m2_s0,zi_mass_kg_s1,game_mass_kg_s1,mass_diff_kg_s1,zi_cda_m2_s1,game_cda_m2_s1,cda_diff_m2_s1,zi_mass_kg_s2,game_mass_kg_s2,mass_diff_kg_s2,zi_cda_m2_s2,game_cda_m2_s2,cda_diff_m2_s2,zi_mass_kg_s3,game_mass_kg_s3,mass_diff_kg_s3,zi_cda_m2_s3,game_cda_m2_s3,cda_diff_m2_s3,zi_mass_kg_s4,game_mass_kg_s4,mass_diff_kg_s4,zi_cda_m2_s4,game_cda_m2_s4,cda_diff_m2_s4,zi_mass_kg_s5,game_mass_kg_s5,mass_diff_kg_s5,zi_cda_m2_s5,game_cda_m2_s5,cda_diff_m2_s5
GiantDefyASL,Giant TCR Advanced SL,Giant,Giant TCR Advanced SL 2021,STANDARD,-0.08,Zwift 32mm Carbon,300.0,81.65,81.65,0.0,0.31396,0.31379,-0.00017,81.653,81.65,0.003,0.31096,0.31089,-7e-05,81.063,81.061,0.003,0.31086,0.31089,3e-05,80.819,80.816,0.003,0.30795,0.30807,0.00013,80.821,80.816,0.005,0.30691,0.30708,0.00016,80.835,80.816,0.018,0.30705,0.30708,3e-05
LaufTrueGrit2021,Lauf Lauf True Grit,Lauf,Lauf True Grit,GRAVEL,0.75,Zwift Gravel,300.0,83.736,83.13,0.606,0.31154,0.31234,0.0008,83.732,83.13,0.602,0.30935,0.31022,0.00087,83.147,82.544,0.602,0.30921,0.31022,0.00101,82.911,82.308,0.602,0.306,0.30712,0.00112,82.912,82.308,0.603,0.30504,0.30619,0.00115,82.904,82.308,0.596,0.30515,0.30619,0.00104
LivLangma,Liv Langma Advanced SL,Liv,Liv Langma Advanced SL 2021,STANDARD,0.15,Zwift 32mm Carbon,300.0,81.673,81.65,0.023,0.31393,0.31379,-0.00014,81.658,81.65,0.008,0.31195,0.31187,-8e-05,81.462,81.454,0.008,0.31185,0.31187,2e-05,81.201,81.194,0.008,0.30897,0.30909,0.00012,81.14,81.132,0.008,0.30898,0.30909,0.0001,81.12,81.132,-0.013,0.30321,0.3035,0.00029
LivDevote2022,Liv LivDevote2022,Liv,Liv Devote Advanced Pro,GRAVEL,0.5,Zwift Gravel,300.0,82.558,82.685,-0.127,0.30716,0.30799,0.00084,82.534,82.685,-0.151,0.30491,0.30582,0.00091,81.963,82.113,-0.151,0.3048,0.30582,0.00102,81.73,81.881,-0.151,0.3017,0.30282,0.00112,81.719,81.881,-0.162,0.30067,0.30183,0.00115,81.724,81.881,-0.156,0.30071,0.30183,0.00112
LivLangma2021,Liv LivLangma2021,Liv,Liv Langma SL Advanced Disc,STANDARD,0.4,Zwift 32mm Carbon,300.0,81.64,81.63,0.01,0.30915,0.30896,-0.00019,81.634,81.63,0.004,0.30609,0.306,-9e-05,81.042,81.037,0.004,0.30599,0.306,2e-05,80.785,80.78,0.004,0.30313,0.30324,0.00011,80.799,80.78,0.019,0.30217,0.30232,0.00014,80.801,80.78,0.02,0.30222,0.30232,0.0001
LivLangmaAdvancedSL2023,Liv LivLangmaAdvancedSL2023,Liv,Liv Langma Advanced SL 2025,STANDARD,1.17,Zwift 32mm Carbon,300.0,81.546,81.69,-0.144,0.30036,0.30036,-1e-05,81.536,81.69,-0.154,0.29741,0.29751,9e-05,81.149,81.303,-0.154,0.29731,0.29751,0.0002,80.902,81.056,-0.154,0.29454,0.29483,0.00029,80.887,81.056,-0.169,0.29358,0.29391,0.00032,80.703,80.873,-0.169,0.29358,0.29391,0.00032
MootsVamoots2021,Moots MootsVamoots2021,Moots,Moots Vamoots RCS,STANDARD,0.5,Zwift 32mm Carbon,300.0,82.588,82.58,0.008,0.3141,0.31379,-0.0003,82.577,82.58,-0.003,0.31108,0.31088,-0.0002,82.195,82.197,-0.003,0.31096,0.31088,-8e-05,81.94,81.943,-0.003,0.30797,0.30799,2e-05,81.949,81.943,0.007,0.30708,0.30713,5e-05,81.741,81.734,0.007,0.30713,0.30713,1e-05
MosaicRT12022,Mosaic MosaicRT12022,Mosaic,Mosaic RT-1d,STANDARD,0.4,Zwift 32mm Carbon,300.0,82.58,82.58,-0.0,0.31407,0.31379,-0.00028,82.589,82.58,0.009,0.31108,0.3109,-0.00018,81.975,81.966,0.009,0.3109,0.3109,-1e-05,81.741,81.733,0.009,0.30795,0.30804,9e-05,81.741,81.733,0.008,0.30706,0.30718,0.00012,81.742,81.733,0.009,0.30713,0.30718,4e-05
Parlee_ESX,Parlee ESX,Parlee,Parlee ESX,STANDARD,1.0,Zwift 32mm Carbon,300.0,82.118,82.11,0.008,0.30906,0.30896,-0.0001,82.113,82.11,0.003,0.30518,0.30521,3e-05,81.521,81.519,0.003,0.30497,0.30521,0.00024,81.276,81.274,0.002,0.30212,0.30245,0.00033,81.273,81.274,-0.001,0.30216,0.30245,0.00029,81.279,81.274,0.005,0.30222,0.30245,0.00023
ParleeRZ72020,Parlee RZ7,Parlee,Parlee RZ7,STANDARD,1.05,Zwift 32mm Carbon,300.0,82.178,82.19,-0.012,0.30441,0.30432,-9e-05,82.204,82.19,0.014,0.30145,0.30146,0.0,81.804,81.791,0.014,0.30132,0.30146,0.00014,81.549,81.535,0.014,0.29848,0.29872,0.00024,81.549,81.535,0.014,0.29752,0.29779,0.00027,81.359,81.345,0.014,0.29756,0.29779,0.00023
Pinarello_TT,Pinarello Bolide,Pinarello,Pinarello Bolide,TT,0.67,Zwift 32mm Carbon,300.0,84.365,84.42,-0.055,0.27499,0.27513,0.00014,84.371,84.42,-0.049,0.27303,0.27324,0.00021,84.077,84.126,-0.049,0.2729,0.27324,0.00034,83.816,83.865,-0.049,0.27012,0.27055,0.00043,83.803,83.865,-0.062,0.26433,0.26495,0.00062,83.802,83.865,-0.063,0.26442,0.26495,0.00054
PinarelloBolideTT2018,Pinarello Bolide TT,Pinarello,Pinarello Bolide TT,TT,0.75,Zwift 32mm Carbon,300.0,84.428,84.47,-0.042,0.27499,0.27513,0.00014,84.419,84.47,-0.051,0.27302,0.27322,0.0002,84.207,84.258,-0.051,0.27294,0.27322,0.00028,83.964,84.015,-0.051,0.27015,0.27052,0.00037,83.848,83.899,-0.051,0.27017,0.27052,0.00035,83.864,83.899,-0.035,0.26443,0.26497,0.00055
Pinarello_Dogma,Pinarello Dogma 65.1,Pinarello,Pinarello Dogma 65.1,STANDARD,1.3,Zwift 32mm Carbon,300.0,82.517,82.51,0.007,0.30909,0.30896,-0.00014,82.514,82.51,0.004,0.30609,0.30605,-3e-05,81.927,81.922,0.004,0.30595,0.30605,0.0001,81.67,81.666,0.004,0.30309,0.30329,0.0002,81.66,81.666,-0.005,0.30211,0.30234,0.00023,81.672,81.666,0.006,0.30222,0.30234,0.00012
PinarelloDogmaF142021,Pinarello Dogma F,Pinarello,Pinarello Dogma F 2021,STANDARD,1.1,Zwift 32mm Carbon,300.0,81.481,81.48,0.001,0.30131,0.30123,-9e-05,81.48,81.48,-0.0,0.29828,0.2983,1e-05,81.084,81.084,-0.0,0.29814,0.2983,0.00016,80.842,80.843,-0.0,0.29529,0.29554,0.00025,80.842,80.843,-0.001,0.29443,0.29471,0.00028,80.63,80.631,-0.001,0.29447,0.29471,0.00023
PinarelloDogmaF102019,Pinarello Dogma F10,Pinarello,Pinarello Dogma F10,STANDARD,1.1,Zwift 32mm Carbon,300.0,81.875,81.88,-0.005,0.30322,0.30316,-6e-05,81.881,81.88,0.001,0.30022,0.30026,4e-05,81.486,81.485,0.001,0.30012,0.30026,0.00014,81.243,81.242,0.001,0.2973,0.29753,0.00023,81.249,81.242,0.006,0.29634,0.2966,0.00027,81.027,81.02,0.006,0.29642,0.2966,0.00018
PinarelloDogmaF122020,Pinarello Dogma F12,Pinarello,Pinarello Dogma F12,STANDARD,1.1,Zwift 32mm Carbon,300.0,81.788,81.79,-0.002,0.30208,0.3021,1e-05,81.794,81.79,0.004,0.29914,0.29925,0.00011,81.391,81.387,0.004,0.29904,0.29925,0.0002,81.155,81.151,0.004,0.29621,0.29651,0.0003,81.136,81.151,-0.015,0.29524,0.29557,0.00033,80.948,80.963,-0.015,0.2953,0.29557,0.00027
PinarelloDogmaF2024,Pinarello DogmaF2024,Pinarello,Pinarello Dogma F 2024,STANDARD,1.8,Zwift 32mm Carbon,300.0,81.391,81.372,0.019,0.2999,0.29987,-3e-05,81.379,81.372,0.007,0.29691,0.29699,7e-05,80.967,80.961,0.007,0.2968,0.29699,0.00019,80.735,80.728,0.007,0.29396,0.29424,0.00028,80.727,80.728,-0.001,0.29308,0.29339,0.00031,80.526,80.527,-0.001,0.29322,0.29339,0.00017
PinarelloDogmaX2024,Pinarello DogmaX2024,Pinarello,Pinarello Dogma X,STANDARD,0.75,Zwift 32mm Carbon,300.0,81.761,81.75,0.011,0.31398,0.31379,-0.00018,81.754,81.75,0.004,0.31095,0.31087,-8e-05,81.378,81.374,0.004,0.31085,0.31087,2e-05,81.142,81.137,0.005,0.30794,0.30806,0.00012,81.123,81.137,-0.014,0.30708,0.30723,0.00015,80.92,80.934,-0.014,0.30717,0.30723,6e-05
PinarelloEspada,Pinarello Espada,Pinarello,Pinarello Espada,TT,1.0,Pinarello Pinarello Espada,300.0,85.032,85.08,-0.048,0.25852,0.2587,0.00018,84.992,85.08,-0.088,0.25649,0.25673,0.00025,84.805,84.894,-0.088,0.25638,0.25673,0.00036,84.545,84.633,-0.088,0.25367,0.25412,0.00045,84.454,84.542,-0.089,0.25372,0.25412,0.00039,84.466,84.542,-0.076,0.24794,0.24852,0.00059
Pinarello_F8,Pinarello F8,Pinarello,Pinarello F8,STANDARD,1.3,Zwift 32mm Carbon,300.0,81.967,81.95,0.017,0.3052,0.30509,-0.00011,81.952,81.95,0.002,0.30219,0.30218,-1e-05,81.351,81.349,0.002,0.30204,0.30218,0.00014,81.104,81.101,0.002,0.29919,0.29943,0.00024,81.122,81.101,0.02,0.29826,0.29853,0.00027,81.114,81.101,0.012,0.29835,0.29853,0.00018
PinarelloDogmaGR2026,Pinarello PinarelloDogmaGR2026,Pinarello,Pinarello Dogma GR,GRAVEL,0.75,Zwift Gravel,300.0,81.99,82.1,-0.11,0.30301,0.30335,0.00034,81.972,82.1,-0.128,0.30002,0.30046,0.00044,81.586,81.714,-0.128,0.30003,0.30046,0.00044,81.344,81.472,-0.128,0.29699,0.29753,0.00054,81.341,81.472,-0.132,0.29603,0.29661,0.00057,81.131,81.262,-0.132,0.29628,0.29661,0.00033
RibbleEndurance2019,Ribble Endurance,Ribble,Ribble Endurance,STANDARD,0.67,Zwift 32mm Carbon,300.0,82.333,82.32,0.013,0.31059,0.31041,-0.00018,82.316,82.32,-0.004,0.30663,0.30658,-5e-05,81.714,81.719,-0.004,0.30645,0.30658,0.00013,81.496,81.5,-0.004,0.30354,0.30377,0.00023,81.479,81.5,-0.022,0.30362,0.30377,0.00014,81.49,81.5,-0.01,0.30366,0.30377,0.00011
RidleyHelium,Ridley Helium,Ridley,Ridley Helium,STANDARD,1.0,Zwift 32mm Carbon,300.0,82.073,82.06,0.013,0.31394,0.31379,-0.00015,82.064,82.06,0.004,0.31101,0.31095,-5e-05,81.479,81.475,0.004,0.31083,0.31095,0.00013,81.228,81.224,0.004,0.30795,0.30817,0.00023,81.239,81.224,0.015,0.30705,0.30731,0.00026,81.229,81.224,0.005,0.30712,0.30731,0.00019
RidleyNoahFast2019,Ridley Noah Fast 2019,Ridley,Ridley Noah Fast 2019,STANDARD,1.8,Zwift 32mm Carbon,300.0,82.284,82.29,-0.006,0.30222,0.3021,-0.00013,82.28,82.29,-0.01,0.29923,0.2992,-3e-05,81.881,81.891,-0.01,0.29908,0.2992,0.00013,81.664,81.674,-0.01,0.29621,0.29643,0.00022,81.654,81.674,-0.02,0.29533,0.29558,0.00025,81.454,81.474,-0.02,0.29535,0.29558,0.00023
Scott_Foil,Scott Foil,Scott,Scott Foil 2015,STANDARD,1.17,Zwift 32mm Carbon,300.0,81.935,81.91,0.025,0.312,0.31186,-0.00014,81.93,81.91,0.02,0.30902,0.30898,-4e-05,81.32,81.3,0.02,0.30891,0.30898,7e-05,81.089,81.069,0.02,0.30603,0.3062,0.00017,81.085,81.069,0.016,0.30506,0.30526,0.0002,81.089,81.069,0.02,0.30513,0.30526,0.00013
ScottPlasma2019,Scott Plasma,Scott,Scott Plasma,TT,0.67,Zwift 32mm Carbon,300.0,83.838,83.88,-0.042,0.27499,0.27513,0.00014,83.825,83.88,-0.055,0.27299,0.2732,0.00021,83.539,83.595,-0.055,0.27289,0.2732,0.00032,83.277,83.333,-0.055,0.27012,0.27053,0.00041,83.26,83.333,-0.073,0.26438,0.26498,0.0006,83.267,83.333,-0.066,0.26442,0.26498,0.00056
ScottAddict2021,Scott ScottAddict2021,Scott,Scott Addict RC,STANDARD,0.5,Zwift 32mm Carbon,300.0,81.365,81.365,0.0,0.30287,0.30277,-9e-05,81.371,81.365,0.006,0.29984,0.29984,1e-05,80.781,80.775,0.006,0.29968,0.29984,0.00016,80.533,80.528,0.006,0.29688,0.29713,0.00025,80.519,80.528,-0.009,0.29598,0.29627,0.00028,80.518,80.528,-0.01,0.29605,0.29627,0.00022
ScottFoil2022,Scott ScottFoil2022,Scott,Scott Foil 2023,STANDARD,0.18,Zwift 32mm Carbon,300.0,81.91,81.92,-0.01,0.3011,0.30103,-6e-05,81.913,81.92,-0.007,0.29812,0.29816,4e-05,81.508,81.516,-0.007,0.298,0.29816,0.00016,81.266,81.273,-0.007,0.2951,0.29536,0.00026,81.267,81.273,-0.006,0.29426,0.29455,0.00029,81.062,81.069,-0.006,0.29439,0.29455,0.00016
ScottPlasma2022,Scott ScottPlasma2022,Scott,Scott Plasma RC Ultimate,TT,0.4,Zwift 32mm Carbon,300.0,83.826,83.88,-0.054,0.27108,0.27126,0.00018,83.824,83.88,-0.056,0.26911,0.26936,0.00024,83.634,83.69,-0.056,0.26899,0.26936,0.00037,83.367,83.423,-0.056,0.26628,0.26674,0.00046,83.277,83.333,-0.056,0.26631,0.26674,0.00043,83.259,83.333,-0.074,0.26058,0.26121,0.00063
ScottSparkMTB2022,Scott ScottSparkMTB2022,Scott,Scott Spark RC World Cup,MOUNTAIN,0.29,Zwift Mountain,300.0,87.073,86.605,0.468,0.31653,0.31742,0.00089,87.066,86.605,0.461,0.31505,0.31599,0.00094,86.173,85.712,0.461,0.31493,0.31599,0.00106,85.928,85.467,0.461,0.31158,0.31275,0.00117,85.917,85.467,0.45,0.31113,0.31232,0.00119,85.626,85.176,0.45,0.31123,0.31232,0.00109
ScottSparkMountainBike2019,Scott Spark RC,Scott,Scott Spark RC,MOUNTAIN,0.5,Zwift Mountain,300.0,87.297,85.7,1.597,0.31855,0.31935,0.0008,87.302,85.7,1.602,0.31703,0.31788,0.00085,86.125,84.522,1.602,0.31686,0.31788,0.00102,85.878,84.276,1.602,0.31352,0.31464,0.00113,85.871,84.276,1.595,0.31308,0.31422,0.00114,85.871,84.276,1.595,0.31314,0.31422,0.00108
Specialized_Allez,Specialized Allez,Specialized,Specialized Allez,STANDARD,1.0,Zwift 32mm Carbon,300.0,82.533,82.53,0.003,0.31406,0.31379,-0.00027,82.532,82.53,0.002,0.31006,0.30992,-0.00014,81.931,81.929,0.002,0.30994,0.30992,-2e-05,81.701,81.699,0.002,0.30701,0.30708,8e-05,81.698,81.699,-0.002,0.30697,0.30708,0.00011,81.679,81.699,-0.021,0.30711,0.30708,-2e-05
SpecializedAllezSprint2019,Specialized Allez Sprint,Specialized,Specialized Allez Sprint,STANDARD,0.75,Zwift 32mm Carbon,300.0,81.919,81.93,-0.011,0.30551,0.30538,-0.00012,81.927,81.93,-0.003,0.30251,0.30248,-2e-05,81.336,81.338,-0.003,0.30239,0.30248,0.0001,81.084,81.087,-0.003,0.29949,0.29968,0.0002,81.104,81.087,0.018,0.29859,0.29882,0.00023,81.089,81.087,0.003,0.29868,0.29882,0.00014
Specialized_Amira,Specialized Amira,Specialized,Specialized Amira,STANDARD,1.0,Zwift 32mm Carbon,300.0,81.662,81.65,0.012,0.31394,0.31379,-0.00014,81.654,81.65,0.004,0.31001,0.31,-1e-05,81.051,81.048,0.004,0.30985,0.31,0.00015,80.833,80.829,0.004,0.30693,0.30718,0.00025,80.817,80.829,-0.012,0.30715,0.30718,3e-05,80.822,80.829,-0.008,0.30703,0.30718,0.00015
Specialized_Amira_Sworks,Specialized Amira S-Works,Specialized,Specialized Amira S-Works,STANDARD,1.0,Zwift 32mm Carbon,300.0,81.483,81.47,0.013,0.31394,0.31379,-0.00015,81.483,81.47,0.013,0.31094,0.31089,-5e-05,80.89,80.877,0.013,0.31081,0.31089,8e-05,80.659,80.647,0.013,0.30795,0.30813,0.00018,80.646,80.647,-0.0,0.30691,0.30713,0.00021,80.638,80.647,-0.009,0.30705,0.30713,8e-05
SpecializedEpic2020,Specialized Epic S-Works,Specialized,Specialized Epic S-Works,MOUNTAIN,0.75,Zwift Mountain,300.0,87.454,85.7,1.754,0.31706,0.3179,0.00084,87.454,85.7,1.754,0.31552,0.31641,0.00089,86.56,84.805,1.754,0.31535,0.31641,0.00106,86.319,84.565,1.754,0.31197,0.31314,0.00117,86.32,84.565,1.756,0.31157,0.31276,0.00118,86.009,84.254,1.756,0.31169,0.31276,0.00107
SpecializedProject74,Specialized Project74,Specialized,Specialized PROJECT 74,STANDARD,1.3,Roval PROJECT 74,300.0,82.845,82.85,-0.005,0.28377,0.28383,6e-05,82.814,82.85,-0.036,0.28071,0.28087,0.00016,82.416,82.452,-0.036,0.28065,0.28087,0.00022,82.173,82.209,-0.036,0.27789,0.2782,0.00031,82.165,82.209,-0.044,0.27696,0.2773,0.00034,82.005,82.049,-0.044,0.27707,0.2773,0.00023
Specialized_Roubaix,Specialized Ruby S-Works,Specialized,Specialized Ruby S-Works,STANDARD,0.75,Zwift 32mm Carbon,300.0,81.674,81.961,-0.287,0.31413,0.31379,-0.00033,81.682,81.961,-0.279,0.31094,0.31071,-0.00023,81.101,81.38,-0.279,0.31079,0.31071,-8e-05,80.851,81.13,-0.279,0.30794,0.30795,1e-05,80.83,81.13,-0.3,0.30697,0.30701,5e-05,80.832,81.13,-0.298,0.30703,0.30701,-2e-05
SpecializedTarmacSL82024,Specialized SWorksTarmacSL8,Specialized,Specialized S-Works Tarmac SL8,STANDARD,1.13,Zwift 32mm Carbon,300.0,81.153,81.15,0.003,0.3001,0.30007,-3e-05,81.153,81.15,0.003,0.2971,0.29717,7e-05,80.758,80.755,0.003,0.29699,0.29717,0.00018,80.503,80.501,0.003,0.29418,0.29446,0.00027,80.51,80.501,0.009,0.29326,0.29356,0.0003,80.311,80.301,0.009,0.29341,0.29356,0.00015
SpecializedShiv2019,Specialized Shiv Disc,Specialized,Specialized Shiv Disc,TT,0.67,Zwift 32mm Carbon,300.0,84.113,84.32,-0.207,0.27162,0.27174,0.00012,84.119,84.32,-0.201,0.26958,0.26977,0.00019,83.903,84.103,-0.201,0.26949,0.26977,0.00028,83.678,83.878,-0.201,0.26676,0.26714,0.00038,83.583,83.784,-0.201,0.26681,0.26714,0.00033,83.561,83.784,-0.223,0.26103,0.26156,0.00052
SpecializedShiv,Specialized Shiv S-Works,Specialized,Specialized Shiv S-Works,TT,1.0,Zwift 32mm Carbon,300.0,83.807,84.17,-0.363,0.275,0.27513,0.00013,83.823,84.17,-0.347,0.27298,0.27318,0.0002,83.619,83.967,-0.347,0.27288,0.27318,0.0003,83.374,83.721,-0.347,0.2701,0.27049,0.00039,83.266,83.614,-0.347,0.27012,0.27049,0.00037,83.27,83.614,-0.344,0.26441,0.26497,0.00056
SpecializedCrux2022,Specialized Specialized Crux 2022,Specialized,Specialized Crux,GRAVEL,0.67,Zwift Gravel,300.0,81.959,82.08,-0.121,0.30557,0.30654,0.00097,81.942,82.08,-0.138,0.30326,0.30431,0.00105,81.548,81.687,-0.138,0.30326,0.30431,0.00105,81.324,81.462,-0.138,0.30018,0.30134,0.00116,81.315,81.462,-0.147,0.29924,0.30043,0.00119,81.122,81.269,-0.147,0.29929,0.30043,0.00114
SpecializedAethos2021,Specialized SpecializedAethos2021,Specialized,Specialized Aethos S-Works,STANDARD,0.5,Zwift 32mm Carbon,300.0,81.146,81.13,0.016,0.3042,0.30413,-7e-05,81.141,81.13,0.011,0.30269,0.30267,-2e-05,80.245,80.234,0.012,0.30246,0.30267,0.0002,80.009,79.997,0.012,0.29966,0.29995,0.00029,80.006,79.997,0.009,0.29926,0.29957,0.00031,79.712,79.703,0.009,0.29932,0.29957,0.00025
SpecializedDiverge2022,Specialized SpecializedDiverge2022,Specialized,Specialized Diverge,GRAVEL,0.67,Zwift Gravel,300.0,82.846,82.98,-0.134,0.30714,0.30799,0.00086,82.836,82.98,-0.144,0.30487,0.3058,0.00093,82.256,82.4,-0.145,0.30484,0.3058,0.00095,82.009,82.153,-0.145,0.3017,0.30275,0.00106,82.017,82.153,-0.136,0.30068,0.30178,0.00109,82.025,82.153,-0.128,0.3007,0.30178,0.00108
SpecializedDiverge2025,Specialized SpecializedDiverge2025,Specialized,Specialized Diverge 4,GRAVEL,0.5,Zwift Gravel,300.0,82.686,82.8,-0.114,0.30383,0.30403,0.0002,82.648,82.8,-0.152,0.30089,0.30119,0.0003,82.064,82.216,-0.152,0.30078,0.30119,0.00041,81.841,81.993,-0.152,0.29767,0.29819,0.00051,81.825,81.993,-0.168,0.2967,0.29724,0.00055,81.817,81.993,-0.176,0.29673,0.29724,0.00052
SpecializedTarmacSL92026,Specialized SpecializedTarmacSL92026,Specialized,Specialized S-Works Tarmac SL9,STANDARD,0.5,Zwift 32mm Carbon,300.0,81.157,81.15,0.007,0.30034,0.29997,-0.00037,81.167,81.15,0.017,0.29753,0.29725,-0.00028,80.761,80.744,0.017,0.29737,0.29725,-0.00012,80.509,80.493,0.017,0.29454,0.29452,-3e-05,80.51,80.493,0.018,0.29352,0.29353,1e-05,80.319,80.301,0.018,0.29351,0.29353,1e-05
SpecializedTarmac2019,Specialized Tarmac Pro,Specialized,Specialized Tarmac Pro,STANDARD,0.67,Zwift 32mm Carbon,300.0,81.343,81.335,0.008,0.30544,0.30538,-6e-05,81.355,81.335,0.02,0.30244,0.30249,4e-05,80.747,80.727,0.02,0.30229,0.30249,0.0002,80.496,80.476,0.02,0.29947,0.29976,0.00029,80.51,80.476,0.034,0.29848,0.29881,0.00033,80.495,80.476,0.019,0.29865,0.29881,0.00016
SpecializedTarmac2021,Specialized Tarmac SL7 Sram,Specialized,Specialized Tarmac SL7,STANDARD,0.97,Zwift 32mm Carbon,300.0,81.367,81.35,0.017,0.30283,0.30277,-6e-05,81.345,81.35,-0.005,0.29982,0.29986,4e-05,80.958,80.963,-0.005,0.29973,0.29986,0.00013,80.718,80.723,-0.005,0.29684,0.29707,0.00023,80.72,80.723,-0.003,0.2959,0.29616,0.00026,80.503,80.505,-0.003,0.29601,0.29616,0.00016
Specialized_Venge,Specialized Venge,Specialized,Specialized Venge 2015,STANDARD,1.17,Zwift 32mm Carbon,300.0,82.235,82.245,-0.01,0.29996,0.29987,-9e-05,82.238,82.245,-0.007,0.29695,0.29696,1e-05,81.64,81.646,-0.007,0.2968,0.29696,0.00017,81.407,81.413,-0.007,0.29398,0.29424,0.00026,81.393,81.413,-0.02,0.29317,0.29346,0.00029,81.41,81.413,-0.003,0.29313,0.29346,0.00033
SpecializedVenge2019,Specialized Venge S-Works,Specialized,Specialized Venge S-Works 2019,STANDARD,1.8,Zwift 32mm Carbon,300.0,81.709,81.715,-0.006,0.29957,0.29949,-9e-05,81.704,81.715,-0.011,0.29651,0.29652,2e-05,81.327,81.337,-0.011,0.2964,0.29652,0.00012,81.068,81.078,-0.011,0.29356,0.29378,0.00022,81.063,81.078,-0.015,0.29257,0.29283,0.00025,80.878,80.893,-0.015,0.29266,0.29283,0.00016
TrekEmonda,Trek Emonda,Trek,Trek Emonda,STANDARD,1.0,Zwift 32mm Carbon,300.0,81.407,81.39,0.017,0.31396,0.31379,-0.00017,81.408,81.39,0.018,0.31237,0.31225,-0.00011,80.516,80.498,0.018,0.31226,0.31225,-0.0,80.269,80.251,0.018,0.3094,0.30949,0.0001,80.279,80.251,0.027,0.30889,0.30901,0.00011,79.981,79.953,0.027,0.30899,0.30901,1e-05
TrekEmondaSL,Trek Emonda SL,Trek,Trek Emonda SL,STANDARD,1.0,Zwift 32mm Carbon,300.0,81.568,81.56,0.008,0.31395,0.31379,-0.00015,81.576,81.56,0.016,0.31194,0.31185,-9e-05,80.362,80.346,0.016,0.3118,0.31185,5e-05,80.161,80.144,0.016,0.30892,0.30907,0.00015,80.139,80.144,-0.005,0.30888,0.30907,0.00019,80.151,80.144,0.007,0.30904,0.30907,3e-05
TrekMadone,Trek Madone,Trek,Trek Madone,STANDARD,1.0,Zwift 32mm Carbon,300.0,81.938,81.945,-0.007,0.30081,0.30074,-7e-05,81.941,81.945,-0.004,0.29776,0.29779,3e-05,81.562,81.566,-0.004,0.29762,0.29779,0.00017,81.304,81.308,-0.004,0.29481,0.29508,0.00026,81.302,81.308,-0.006,0.2939,0.29419,0.00029,81.098,81.104,-0.006,0.29397,0.29419,0.00022
TrekSpeedConcept2021,Trek Speed Concept 2021,Trek,Trek Speed Concept SLR 9,TT,0.5,Zwift 32mm Carbon,300.0,85.12,85.18,-0.06,0.27121,0.27126,5e-05,85.103,85.18,-0.077,0.26917,0.26929,0.00012,84.912,84.99,-0.077,0.26908,0.26929,0.0002,84.645,84.723,-0.077,0.26633,0.26663,0.0003,84.559,84.636,-0.077,0.26635,0.26663,0.00027,84.56,84.636,-0.076,0.26058,0.26104,0.00047
TrekSuperCaliber2020,Trek Super Caliber 2020,Trek,Trek Super Caliber,MOUNTAIN,0.75,Zwift Mountain,300.0,87.124,86.5,0.624,0.31649,0.31742,0.00093,87.12,86.5,0.62,0.31503,0.31601,0.00097,86.218,85.598,0.62,0.3149,0.31601,0.0011,85.974,85.354,0.62,0.31159,0.31281,0.00122,85.972,85.354,0.617,0.31115,0.31238,0.00123,85.668,85.05,0.617,0.31114,0.31238,0.00124
UraniumNuclear2021,Uranium UraniumNuclear2021,Uranium,Uranium Nuclear,STANDARD,0.67,Zwift 32mm Carbon,300.0,81.839,81.83,0.009,0.30368,0.30364,-3e-05,81.833,81.83,0.003,0.30069,0.30075,7e-05,81.244,81.241,0.003,0.30056,0.30075,0.00019,80.99,80.987,0.003,0.29774,0.29803,0.00029,80.986,80.987,-0.001,0.29683,0.29715,0.00032,80.978,80.987,-0.009,0.29691,0.29715,0.00024
VanRyselEDR2021,VanRysel VanRyselEDR2021,VanRysel,VanRysel EDR CF,STANDARD,0.6,Zwift 32mm Carbon,300.0,82.091,82.08,0.011,0.31399,0.31379,-0.00019,82.074,82.08,-0.006,0.31101,0.31092,-9e-05,81.489,81.495,-0.006,0.31087,0.31092,5e-05,81.261,81.267,-0.006,0.30793,0.30808,0.00015,81.246,81.267,-0.021,0.30707,0.30725,0.00018,81.27,81.267,0.003,0.30712,0.30725,0.00013
VanRyselRCRF2026,VanRysel VanRyselRCRF2026,VanRysel,VanRysel RCR-F,STANDARD,0.33,Zwift 32mm Carbon,300.0,81.583,81.6,-0.017,0.30019,0.29958,-0.0006,81.613,81.6,0.013,0.29717,0.29667,-0.0005,81.232,81.22,0.013,0.29714,0.29667,-0.00048,80.977,80.964,0.013,0.29435,0.29396,-0.00038,80.978,80.964,0.014,0.29318,0.29284,-0.00035,80.777,80.763,0.014,0.29334,0.29284,-0.0005
